boot,serial,U_SENS_interval_s
dp,mono_s,temperature_C,I_SENSE_nA,I_SENSE_OVL,I_LEAK_nA,I_LEAK_OVL,U_CE_WE_V,U_CE_WE_OVL,U_CE_CONNECTOR_connected,U_CE_CONNECTOR_V,U_BATT_V,U_BATT_LOW
boot,0734,0.016
dp,5.012,22.8,0.2,,6.0,,0.438,,disconnected,1.186,3.199,low
dp,10.006,22.8,0.1,,3.6,,0.435,,disconnected,1.185,3.206,low
dp,15.015,22.8,-92.0,,4.2,,0.432,,disconnected,1.189,3.197,low
dp,20.010,23.0,-549.8,,5.8,,0.429,,disconnected,1.192,3.204,low
dp,25.014,23.0,0.0,,4.0,,0.427,,disconnected,1.186,3.194,low
dp,30.012,23.0,0.1,,8.1,,0.423,,disconnected,1.187,3.201,low
dp,35.001,23.0,-710.9,,8.3,,0.419,,disconnected,1.192,3.197,low
dp,40.015,23.0,-954.1,,8.3,,0.419,,disconnected,1.179,3.194,low
dp,45.011,23.0,-877.4,,8.9,,0.418,,disconnected,1.173,3.206,low
dp,50.011,23.5,-0.0,,-956.8,,0.418,,disconnected,1.077,3.213,low
dp,55.009,23.5,0.1,,-956.6,,0.415,,disconnected,0.917,3.223,low
dp,60.005,23.8,0.1,,10.8,,0.417,,disconnected,1.137,3.201,low
dp,65.016,23.8,0.0,,10.3,,0.421,,disconnected,0.759,3.237,low
dp,70.011,25.3,0.1,,1.3,,0.392,,disconnected,1.158,3.645,
dp,75.002,25.3,0.1,,-0.5,,0.397,,disconnected,1.128,4.020,
