boot,sn,version_sw
dp,mono_s,temperature_C,I_SENSE_nA,I_SENSE_OVL,I_LEAK_nA,I_LEAK_OVL,U_CE_WE_V,U_CE_WE_OVL,U_CE_CONNECTOR_connected,U_CE_CONNECTOR_V,U_BATT_V,U_BATT_LOW
boot,8afb,v0.1.0
dp,5.003,25.8,0.1,,-0.3,,-0.081,,,-0.004,4.091,
dp,10.015,25.8,-0.1,,-1.3,,-0.080,,,-0.001,4.093,
dp,15.005,26.0,-0.0,,-2.1,,-0.085,,,-0.004,3.724,
dp,20.012,26.3,-0.1,,-0.8,,-0.086,,,-0.001,4.096,
dp,25.004,26.5,-0.2,,1.3,,-0.086,,,-0.004,3.736,
dp,30.012,26.5,0.1,,0.9,,-0.087,,,-0.003,3.726,
dp,35.006,26.8,-0.1,,0.2,,-0.083,,,-0.001,4.098,
dp,40.007,26.8,-0.2,,0.7,,-0.078,,,0.005,3.731,
dp,45.013,27.0,-0.1,,-0.3,,-0.086,,,-0.005,3.719,
